Category,Item_Variant,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Week 14,Week 15,Week 16
Chicken ,Chicken Cordon Bleu,0.871839582,0.827966881,1.003344482,0.507099391,0.493421053,1.036757776,0.5,0.997697621,0.886699507,1.184834123,1.182432432,0.543478261,0.630417652,0.516986706,0.578512397,0.485436893
Chicken ,Crispy Chicken Melted Cheese,0.610287707,1.011959522,0.780379041,0.405679513,0.493421053,0.471253534,0.5,0.230237913,0.591133005,1.421800948,0.506756757,1.242236025,1.497241923,1.772525849,0.991735537,0.849514563
Chicken ,Grilled Chicken,0.610287707,0.459981601,0.445930881,0.202839757,0,0.188501414,0.1,0.383729854,0.492610837,0.473933649,0.506756757,0.155279503,0.078802206,0.664697194,0.082644628,0.36407767
Chocolate,Dark Chocolate Caramel Hot,0,0,0,0,0,0,0,0,0,0,0,0,0,0.073855244,0,0
Chocolate,Dark Chocolate Hazelnut Hot,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.121359223
Chocolate,Dark Chocolate Hazelnut Iced,0,0,0,0,0,0,0,0,0,0,0,0,0.078802206,0.073855244,0.082644628,0
Chocolate,Dark Chocolate Peppermint Hot,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.082644628,0
Chocolate,Dark Chocolate Peppermint Iced,0,0,0,0,0,0,0,0,0,0,0,0,0.078802206,0.295420975,0,0
Chocolate,Dark Chocolate Pure Hot,0,0,0,0,0,0,0,0,0,0,0,0,0.078802206,0,0.247933884,0
Chocolate,Dark Chocolate Pure Iced,0,0,0,0,0,0,0,0,0,0,0,0,0.157604413,0.073855244,0.082644628,0.121359223
Chocolate,Dark Chocolate Tiramisu Hot,0,0,0,0,0,0,0,0,0,0,0,0,0,0.147710487,0,0.121359223
Chocolate,Dark Chocolate Tiramisu Iced,0,0,0,0,0,0,0,0,0,0,0,0,0.157604413,0,0,0
Chocolate,Dark Chocolate Vanilla Hot,0,0,0,0,0,0,0,0,0,0,0,0,0,0.073855244,0,0
Chocolate,White Chocolate Caramel Hot,0,0,0,0,0,0,0,0,0,0,0,0,0.078802206,0,0,0
Chocolate,White Chocolate Caramel Iced,0,0,0,0,0,0,0,0,0,0,0,0,0,0.073855244,0,0
Chocolate,White Chocolate Hazelnut Hot,0,0,0,0,0,0,0,0,0,0,0,0,0,0.073855244,0.082644628,0
Chocolate,White Chocolate Hazelnut Iced,0,0,0,0,0,0,0,0,0,0,0,0,0,0.073855244,0.082644628,0
Chocolate,White Chocolate Peppermint Hot,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.121359223
Chocolate,White Chocolate Peppermint Iced,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.165289256,0
Chocolate,White Chocolate Pure Hot,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.082644628,0
Chocolate,White Chocolate Tiramisu Hot,0,0,0,0,0,0,0,0,0,0,0,0,0,0.073855244,0,0
Chocolate,White Chocolate Vanilla Hot,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.082644628,0
Chocolate,White Chocolate Vanilla Iced,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.082644628,0
Coffee,Americano,0.871839582,0.735970561,0.11148272,1.115618661,0.822368421,0.848256362,1,0.613967767,0.492610837,0.473933649,0.591216216,0.854037267,0.472813239,0.960118168,2.066115702,1.45631068
Coffee,Avocado Coffee,0,0,0.22296544,0.202839757,0.246710526,0.565504241,0.4,0.076745971,0,0.315955766,0.168918919,0.388198758,0.315208826,0.295420975,0.165289256,0.121359223
Coffee,Cafe Latte,1.133391456,1.195952162,1.114827202,0.60851927,1.891447368,1.131008483,1.9,0.383729854,0.78817734,0.947867299,0.591216216,1.00931677,0.315208826,0.738552437,0.578512397,0.485436893
Coffee,Cappuccino,1.39494333,1.379944802,0.668896321,0.811359026,1.891447368,2.450518379,1.6,0.306983883,1.674876847,0.947867299,1.351351351,1.47515528,0.788022065,0.664697194,1.900826446,1.09223301
Coffee,Cappucino Grass Jelly,0,0,0,0,0,0,0,0,0,0,0,0,0,0.147710487,0,0
Coffee,Caramel Machiato Hot,0,0.827966881,0.557413601,0.60851927,0.904605263,0.754005655,0.9,0.230237913,0.295566502,0.710900474,0.844594595,0.854037267,0.315208826,0.369276219,0.247933884,0.485436893
Coffee,Kopi Tradisional Original,0.95902354,0.643974241,0.780379041,0.709939148,0.986842105,1.319509896,0.5,0.460475825,1.083743842,0.789889415,0.760135135,1.397515528,0.472813239,0.147710487,0,0
Coffee,Kopi Tradisional Spesial,0.261551874,0.367985281,0.891861761,0.304259635,0.657894737,0.377002828,0.6,0.383729854,0.39408867,0.631911532,0.084459459,0.232919255,0.394011032,0.516986706,0.165289256,0.485436893
Coffee,Mocha Cookies Caramel,0.174367916,0.735970561,0.557413601,0.101419878,0,0,0.2,0.690713738,0.295566502,0.710900474,0.591216216,0.310559006,0.157604413,0.516986706,0.495867769,0.970873786
Coffee,Mochaccino Hot,0,0.643974241,0.11148272,0.101419878,0.082236842,0,0.3,0.383729854,0.295566502,0.157977883,0.337837838,0.388198758,0.078802206,0.147710487,0.330578512,0.485436893
Coffee,Mojito Coffee,0.261551874,0.27598896,0.22296544,0,0.246710526,0.377002828,0.2,0.230237913,0.098522167,0.157977883,0,0.077639752,0.078802206,0.073855244,0.165289256,0.242718447
