Category,Item_Variant,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Week 14,Week 15,Week 16
Chicken ,Chicken Cordon Bleu,0.87,0.83,1,0.51,0.49,1.04,0.5,1,0.89,1.18,1.18,0.54,0.63,0.52,0.58,0.49
Chicken ,Crispy Chicken Melted Cheese,0.61,1.01,0.78,0.41,0.49,0.47,0.5,0.23,0.59,1.42,0.51,1.24,1.5,1.77,0.99,0.85
Chicken ,Grilled Chicken,0.61,0.46,0.45,0.2,0,0.19,0.1,0.38,0.49,0.47,0.51,0.16,0.08,0.66,0.08,0.36
Chocolate,Dark Chocolate Caramel,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07,0,0
Chocolate,Dark Chocolate Hazelnut,0,0,0,0,0,0,0,0,0,0,0,0,0.08,0.07,0.08,0.12
Chocolate,Dark Chocolate Peppermint,0,0,0,0,0,0,0,0,0,0,0,0,0.08,0.3,0.08,0
Chocolate,Dark Chocolate Pure,0,0,0,0,0,0,0,0,0,0,0,0,0.24,0.07,0.33,0.12
Chocolate,Dark Chocolate Tiramisu,0,0,0,0,0,0,0,0,0,0,0,0,0.16,0.15,0,0.12
Chocolate,Dark Chocolate Vanilla,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07,0,0
Chocolate,White Chocolate Caramel,0,0,0,0,0,0,0,0,0,0,0,0,0.08,0.07,0,0
Chocolate,White Chocolate Hazelnut,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14,0.16,0
Chocolate,White Chocolate Peppermint,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17,0.12
Chocolate,White Chocolate Pure,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08,0
Chocolate,White Chocolate Tiramisu,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07,0,0
Chocolate,White Chocolate Vanilla,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16,0
Coffee,Americano,0.87,0.74,0.11,1.12,0.82,0.85,1,0.61,0.49,0.47,0.59,0.85,0.47,0.96,2.07,1.46
Coffee,Avocado Coffee,0,0,0.22,0.2,0.25,0.57,0.4,0.08,0,0.32,0.17,0.39,0.32,0.3,0.17,0.12
Coffee,Cafe Latte,1.13,1.2,1.11,0.61,1.89,1.13,1.9,0.38,0.79,0.95,0.59,1.01,0.32,0.74,0.58,0.49
Coffee,Cappuccino,1.39,1.38,0.67,0.81,1.89,2.45,1.6,0.31,1.67,0.95,1.35,1.48,0.79,0.66,1.9,1.09
Coffee,Cappucino Grass Jelly,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15,0,0
Coffee,Caramel Machiato,0,0.83,0.56,0.61,0.9,0.75,0.9,0.23,0.3,0.71,0.84,0.85,0.32,0.37,0.25,0.49
Coffee,Kopi Tradisional Original,0.96,0.64,0.78,0.71,0.99,1.32,0.5,0.46,1.08,0.79,0.76,1.4,0.47,0.15,0,0
