Wijken,PvdA,PVV,VVD,D66,GRLKS,CDA,HSP,SP,PPS,PvdD,ID,LP,CU/SGP,GdM/OP,HOOP,OPA,PvdE,FAM,TerLin
01 Oostduinen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02 Belgisch Park,208,412,572,517,107,245,357,104,223,66,6,3,70,158,22,1,4,9,0
03 Westbroekpark/Duttendel,55,118,282,180,51,97,142,20,50,27,1,0,28,29,18,1,3,1,1
04 Benoordenhout,345,338,2046,1520,271,594,1150,97,24,106,7,11,92,108,34,1,1,4,6
05 Archipelbuurt,195,172,426,516,133,125,721,68,11,62,5,8,37,49,11,1,1,5,2
06 Van Stolkpark en Schev. Bos,29,38,127,87,19,27,72,5,21,3,1,4,20,21,2,1,1,1,0
07 Scheveningen,410,1110,604,728,229,428,679,267,842,168,17,15,298,537,32,5,13,9,0
08 Duindorp,79,746,50,81,39,86,154,86,415,30,2,0,152,215,8,0,5,2,0
09 Geuzen- en Statenkwartier,606,858,1106,1471,479,532,1287,274,513,156,7,23,397,395,53,2,20,5,9
10 Zorgvliet,40,33,97,148,37,25,127,12,2,7,0,0,4,13,2,0,0,0,0
11 Duinoord,303,224,470,860,301,160,766,171,43,89,11,9,49,97,16,0,8,2,5
12 Bomen- en Bloemenbuurt,672,714,653,1214,581,433,1513,354,78,182,11,26,189,368,54,6,4,7,15
13 Vogelwijk,200,206,685,625,157,272,658,61,19,48,2,4,77,132,26,2,3,2,2
"14 Bohemen, Meer en Bos",227,336,368,426,149,241,416,139,18,88,6,4,66,321,35,6,0,2,5
15 Kijkduin en Ockenburgh,51,124,154,115,29,95,116,26,4,12,0,0,11,73,11,3,0,1,0
16 Kraayenstein en Vroondaal,232,486,307,288,81,338,214,140,15,61,6,4,86,254,38,3,5,2,4
17 Loosduinen,869,2050,550,858,307,857,759,639,30,213,107,8,249,1155,114,20,82,5,6
18 Waldeck,703,1502,678,921,320,829,916,531,52,206,31,10,179,981,122,5,25,10,6
19 Vruchtenbuurt,307,413,385,580,332,275,703,200,26,107,7,9,115,216,26,2,7,2,3
20 Valkenboskwartier,1163,846,370,1212,652,420,1302,518,36,174,184,22,165,243,52,8,249,4,6
21 Regentessekwartier,487,310,221,737,394,156,787,246,16,90,101,6,60,104,11,3,76,2,3
22 Zeeheldenkwartier,433,322,409,957,350,176,1061,229,27,123,43,13,56,106,32,2,50,5,4
23 Willemspark,46,47,171,222,60,44,245,28,3,21,0,0,16,13,2,0,1,1,0
24 Haagse Bos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25 Mariahoeve en Marlot,609,771,606,840,203,516,541,389,31,152,38,11,172,307,83,8,43,7,6
26 Bezuidenhout,780,709,945,1768,580,403,907,340,29,195,46,24,132,221,70,4,33,7,7
27 Stationsbuurt,829,383,463,1352,528,270,715,313,22,126,176,19,113,95,21,4,205,5,10
28 Centrum,1758,1222,1273,2757,958,709,2314,690,48,287,226,33,221,337,58,9,268,13,17
29 Schildersbuurt,2498,718,117,1027,471,543,409,507,10,101,2001,10,70,228,25,5,2066,9,17
30 Transvaalkwartier,1108,373,53,465,229,229,77,203,9,35,1307,9,41,90,12,6,592,0,14
31 Rustenburg en Oostbroek,630,1001,139,475,276,246,333,319,24,80,444,9,175,406,35,5,128,4,13
32 Leyenburg,492,1402,267,611,164,424,473,393,38,140,78,6,187,605,78,5,40,2,7
33 Bouwlust/Vrederust,1433,1456,244,681,307,524,293,675,18,147,726,14,165,672,78,10,640,4,3
34 Morgenstond,1047,1243,279,617,238,384,323,477,31,151,388,11,150,651,84,6,292,4,5
35 Zuiderpark,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36 Moerwijk,983,930,149,448,162,297,197,436,15,111,322,7,162,324,69,13,337,7,6
37 Groente- en Fruitmarkt,217,75,11,144,60,67,26,16,1,2,397,1,12,77,6,0,148,1,1
38 Laakkwartier en Spoorwijk,2004,1889,331,1215,441,544,532,782,18,185,592,18,221,421,87,23,660,8,13
39 Binckhorst,21,38,22,35,7,16,32,8,1,5,0,2,6,10,2,0,6,0,1
40 Wateringse Veld,891,1425,833,1126,208,642,293,362,28,117,169,16,171,551,85,10,140,6,10
41 Hoornwijck,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42 Ypenburg,1032,1615,1413,1806,295,620,300,450,27,190,130,30,275,386,67,11,70,5,13
43 Forepark,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44 Leidschenveen,713,1283,1089,1292,187,543,313,359,22,123,69,15,209,499,45,12,79,8,7
