"Buurten","Single-parent household","Living together without children","Living together with children","Single-parent family","Number of households","% private households with a low income","% private households with an average income","% private households with a high income","Number of private households with a low income","Number of private households with a high income","Number of private households with an average income"
"01 Oud Scheveningen",837,379,264,114,1594,53.3,33.6,13.2,810,200,510
"02 Vissershaven",761,451,291,202,1705,53.0,30.9,16.1,790,240,460
"03 Scheveningen Badplaats",1556,749,510,216,3031,42.7,36.0,21.3,1140,570,960
"04 Visserijbuurt",978,514,357,174,2023,50.0,32.6,16.8,920,310,600
"05 v Stolkpark/Schev Bosjes",171,86,85,18,360,29.0,29.0,38.7,90,120,90
"06 Waldeck-Zuid",641,294,136,118,1189,55.8,35.4,8.8,630,100,400
"07 Statenkwartier",2030,1150,1139,252,4571,29.1,30.1,40.8,1140,1600,1180
"08 Geuzenkwartier",995,574,484,171,2224,46.7,35.8,18.4,990,390,760
"09 Vogelwijk",545,620,800,115,2080,13.3,28.6,57.7,260,1130,560
"10 Rond de Energiecentrale",1763,710,459,269,3201,57.9,31.4,10.7,1620,300,880
"11 Kortenbos",2675,951,414,293,4333,54.7,31.6,13.7,1990,500,1150
"12 Voorhout",1007,392,90,30,1519,43.7,30.3,26.1,520,310,360
"13 Uilebomen",1030,482,179,141,1832,52.2,32.6,15.9,720,220,450
"14 Zuidwal",2884,908,328,312,4432,62.1,28.2,9.6,2200,340,1000
"15 Schildersbuurt-West",2694,1024,1648,843,6209,66.4,28.3,5.4,3710,300,1580
"16 Schildersbuurt-Noord",2170,661,1039,688,4558,68.4,26.8,4.9,2810,200,1100
"17 Schildersbuurt-Oost",1172,489,846,507,3014,64.0,29.2,6.7,1710,180,780
"18 Huygenspark",3663,706,428,339,5136,64.8,27.6,7.7,1690,200,720
"19 Laakhaven-Oost",1396,409,310,262,2377,61.4,30.7,7.2,1020,120,510
"20 Moerwijk-Oost",1049,217,267,205,1738,77.4,19.5,3.1,1230,50,310
"21 Groente- en Fruitmarkt",772,403,704,253,2132,54.7,34.9,10.4,1050,200,670
"22 Laakhaven-West",1591,399,489,291,2770,67.0,26.6,5.9,1360,120,540
"23 Spoorwijk",698,311,558,293,1860,54.8,35.1,9.5,920,160,590
"24 Laakkwartier-West",1697,911,898,427,3933,57.6,35.5,6.9,2010,240,1240
"25 Laakkwartier-Oost",2588,1423,1175,542,5728,58.6,36.2,5.4,2930,270,1810
"26 Noordpolderbuurt",2045,805,806,532,4188,65.4,29.7,4.9,2270,170,1030
"30 Rustenburg",1433,704,675,311,3123,55.5,37.6,6.9,1610,200,1090
"31 Oostbroek-Noord",986,527,512,216,2241,53.3,40.7,6.5,1060,130,810
"32 Transvaalkwartier-Noord",981,335,395,262,1973,71.5,24.4,4.1,1230,70,420
"33 Transvaalkwartier-Midden",919,400,603,236,2158,61.8,30.9,7.3,1180,140,590
"34 Transvaalkwartier-Zuid",1210,573,942,340,3065,58.9,33.5,7.6,1550,200,880
"35 Oostbroek-Zuid",1707,895,933,415,3950,56.1,38.6,5.6,1920,190,1320
"36 Zuiderpark",84,18,0,0,102,91.7,16.7,0.0,110,0,20
"37 Moerwijk-West",1801,436,522,533,3292,75.5,21.6,2.9,2310,90,660
"38 Moerwijk-Noord",1663,680,721,468,3532,63.1,32.2,4.7,2020,150,1030
"39 Moerwijk-Zuid",1321,351,412,236,2320,73.2,21.5,5.4,1500,110,440
"40 Nieuw Waldeck",1497,830,743,414,3484,51.2,37.7,11.1,1710,370,1260
"41 Zorgvliet",113,108,36,11,268,20.0,30.0,50.0,40,100,60
"42 Stadhoudersplantsoen",665,254,162,56,1137,40.8,38.8,20.4,400,200,380
"43 Sweelinckplein eo",1412,807,606,144,2969,50.4,24.0,25.5,1720,870,820
"44 Koningsplein eo",2210,1057,656,264,4187,50.5,30.6,19.1,1880,710,1140
"45 Zeeheldenkwartier",3937,1506,838,442,6723,53.7,29.6,16.7,3060,950,1690
"46 Archipelbuurt",1803,804,534,161,3302,36.2,31.1,33.1,1060,970,910
"47 Willemspark",589,220,111,32,952,40.5,29.8,29.8,340,250,250
"48 Nassaubuurt",307,223,193,36,759,22.1,29.4,48.5,150,330,200
"49 Haagse Bos",198,55,14,5,272,43.5,39.1,13.0,100,30,90
"50 Bloemenbuurt-West",436,289,278,87,1090,27.4,43.4,29.2,290,310,460
"51 Bloemenbuurt-Oost",1538,816,704,296,3354,35.6,45.4,19.0,1120,600,1430
"52 Bomenbuurt",1461,784,581,237,3063,38.8,40.6,20.6,1110,590,1160
"53 Vruchtenbuurt",1158,833,912,306,3209,28.9,41.9,29.5,890,910,1290
"54 Heesterbuurt",1921,768,613,430,3732,55.2,34.8,10.1,1920,350,1210
"55 Valkenboskwartier",3124,1489,1076,524,6213,52.7,34.0,13.2,2880,720,1860
"60 Binckhorst",153,28,4,2,187,75.0,25.0,8.3,90,10,30
"61 Landen",1568,533,328,268,2697,63.1,28.8,8.1,1710,220,780
"62 Rivierenbuurt-Zuid",365,147,24,26,562,74.4,23.1,2.6,290,10,90
"63 Rivierenbuurt-Noord",1142,534,311,143,2130,59.5,25.3,14.6,940,230,400
"64 Bezuidenhout-West",1328,317,225,224,2094,59.5,29.7,11.5,880,170,440
"65 Bezuidenhout-Midden",998,564,458,90,2110,27.7,40.3,31.4,530,600,770
"66 Bezuidenhout-Oost",2738,1439,776,298,5251,38.5,41.8,19.8,1850,950,2010
"67 Kampen",915,262,164,142,1483,61.0,34.0,5.7,860,80,480
"68 Marlot",90,114,105,12,321,13.8,20.7,65.5,40,190,60
"69 Burgen en Horsten",2195,688,505,290,3678,56.6,33.5,9.9,1890,330,1120
"70 Oostduinen",,,,,,,,,,,
"71 Belgisch Park",2112,1090,825,233,4260,35.9,34.2,29.6,1240,1020,1180
"72 Rijslag",489,198,154,60,901,50.0,26.3,22.5,400,180,210
"73 Westbroekpark",207,144,62,14,427,32.5,25.0,47.5,130,190,100
"74 Duttendel",191,130,122,28,471,22.7,34.1,45.5,100,200,150
"75 Uilennest",627,296,191,44,1158,25.2,42.1,32.7,270,350,450
"76 Duinzigt",850,376,169,61,1456,21.3,41.9,37.5,290,510,570
"77 Waalsdorp",595,438,525,94,1652,17.9,29.1,54.3,270,820,440
"78 Arendsdorp",244,140,161,14,559,28.0,22.0,52.0,140,260,110
"79 v Hoytemastraat eo",363,275,320,67,1025,20.4,31.2,48.4,190,450,290
"80 Morgenstond-Zuid",1633,588,511,447,3179,70.1,26.4,3.5,2180,110,820
"81 Bosjes van Pex",98,43,49,16,206,36.8,42.1,26.3,70,50,80
"82 Rosenburg",864,405,167,145,1581,52.9,37.1,10.0,740,140,520
"83 Eykenduynen",539,368,305,117,1329,34.9,45.0,20.9,450,270,580
"84 Leyenburg",3614,1876,1515,757,7762,47.7,42.8,9.5,3510,700,3150
"85 Kerketuinen/Zichtenburg",,,,,4,0.0,0.0,0.0,0,0,0
"86 Houtwijk",1992,1553,1511,571,5627,37.5,43.0,19.4,1990,1030,2280
"87 Venen/Oorden/Raden",1857,718,916,533,4024,65.3,28.8,5.9,2450,220,1080
"88 Morgenstond-West",1624,710,914,317,3565,53.5,34.8,11.7,1740,380,1130
