id,created_at,text
973314541982507008,2018-03-12 21:47:24,b'I\xe2\x80\x99m ready to engage with my 13 new followers in the past day. I know them via https://t.co/n2p6LMj9Ir'
973290821280727040,2018-03-12 20:13:09,b'RT @BLIKOPENER333: #Brigit-VRAAG VAN DEZE WEEK Wie weet wat Emiel Ratelband en Camiel Eurlings met elkaar gemeen hebben?\n\n#blikopenernieuws\xe2\x80\xa6'
973284188324540418,2018-03-12 19:46:47,b'RT @BLIKOPENER333: @BLIKOPENERteam #Brigit-news: Vandaag maandag 12 maart 2018 ging Monique Underkoffer \xc3\xa9n incognito de supermarkten af met\xe2\x80\xa6'
973262390962749441,2018-03-12 18:20:11,b'RT @BLIKOPENER333: FORBIDDEN PICTURE &amp; UPDATE #Mediakartel https://t.co/lsWjDbEdBQ'
973262348034215936,2018-03-12 18:20:00,"b'RT @BLIKOPENER333: OOPS #Lidl verwijdert kruizen van verpakking, plaatst wel moskee https://t.co/kNxMWVFnJd'"
973262315985436677,2018-03-12 18:19:53,b'RT @BLIKOPENER333: OOPS #Lidl censureert kruisen op pakken moussaka https://t.co/zen83NhLPC'
973262281579560961,2018-03-12 18:19:44,b'RT @BLIKOPENER333: OOPS Islamisering? Nee joh: #Lidl photoshopt kruisjes op Griekse tempels weg van verpakkingen https://t.co/UUf8FFaeAw'
973249317543739392,2018-03-12 17:28:14,b'RT @BLIKOPENER333: #Brigit-news: WOW Het WETSONTWERP #Denk is door de  2de en 1ste Kamer.\nVanaf zondag 1-4-2018 kunnen alle Turken in de Ne\xe2\x80\xa6'
973244028887224320,2018-03-12 17:07:13,b'RT @BLIKOPENER333: #Brigit gouden news-tip:\nIn One Second het belangrijkste nieuws ff bekijken volg dan onze nieuws parel https://t.co/GP6x\xe2\x80\xa6'
973243957487554566,2018-03-12 17:06:56,b'RT @BLIKOPENERteam: OOPS Mohammed Benzakour is TERUG (en ondankbaar?) Gelijk heeft hij volgens ons: Waarom wil Nederland zich toch niet aan\xe2\x80\xa6'
973233165593731075,2018-03-12 16:24:03,"b""RT @BLIKOPENER333: 1/1 Herstelbetalings activisten zorgen voor de DE BIZARRE GEBOORTE VAN HET 'ZWARTE PIETEN'-SYNDROOM https://t.co/Y81w0RX\xe2\x80\xa6"""
973233132706127872,2018-03-12 16:23:55,b'RT @BLIKOPENER333: 1/2 In Amerika werden er in de jaren zestig nog steeds stiekem slaven gehouden https://t.co/dJVNT4olE0 via @vicenl'
973226834094645248,2018-03-12 15:58:53,b'RT @BLIKOPENER333: #Brigit-news: Ook al een nieuws fan van onze reporter Bouchra @dekoran1 https://t.co/SdxRj8esut ? https://t.co/W4IFJrLPt8'
973207644877008896,2018-03-12 14:42:38,b'@BLIKOPENER333 @DirkBontes1 @rinsjan @lidwieneik_boom ROFLOL https://t.co/kStcX7rLqb'
973171663440408576,2018-03-12 12:19:39,b'RT @BLIKOPENER333: OOPS https://t.co/wBz2xnd9It Negeer die lentekriebels maar: Koning Winter keert terug en hoe! https://t.co/wQYeJjckJy'
973160810641084416,2018-03-12 11:36:32,b'RT @BLIKOPENER333: @LionessLisaH Nu ook te volgen op:\n\nhttps://t.co/Xtylwfrdf6\nhttps://t.co/SdxRj8esut\nhttps://t.co/e5jZvZ6o8k\nhttps://t.co\xe2\x80\xa6'
973160785374531586,2018-03-12 11:36:26,b'RT @LionessLisaH: Volgen is een must!\n\n#SuperTeam\n          \xf0\x9f\x91\x87\n@BLIKOPENER333 https://t.co/QD5l4jIOcc'
973156250975375360,2018-03-12 11:18:25,b'RT @lidwieneik_boom: Graag retweeten #dossierpechtold https://t.co/klPf5y6Usy. @BLIKOPENER333'
973155863996313600,2018-03-12 11:16:52,b'RT @dekoran1: Verschrikkelijk:  Britse \xe2\x80\x98kwaliteitscourant\xe2\x80\x99 The Guardian verzwijgt etnische afkomst verdachten misbruik Telford  https://t.c\xe2\x80\xa6'
973152320161755137,2018-03-12 11:02:48,b'RT @BLIKOPENER333: Onze @BLIKOPENERteam-reporters:\n\n@dekoran1\n@rinsjan \n@HananShamounNL Syri\xc3\xab  \n@lidwieneik_boom \n@barracudawiep \n@mary_blu\xe2\x80\xa6'
973149483482714112,2018-03-12 10:51:31,b'RT @BLIKOPENER333: #Brigit-news: BLIJF het #OOPS nieuws van Monique volgen: We leggen al tijd de vinger op de zere plek \n\n#blikopenernieuws\xe2\x80\xa6'
973149444198883328,2018-03-12 10:51:22,b'RT @BLIKOPENER333: Blijf jij ons onthullend actueel nieuws ook volgen? Een heel team reporters doet elke dag haar uiterste best hiervoor. G\xe2\x80\xa6'
973149405917450240,2018-03-12 10:51:13,b'RT @BLIKOPENER333: ELKE DAG om 00.00 uur #Brigit-BreakfastNews met het vaste team:\n\n@dekoran1\n@rinsjan \n@HananShamounNL \n@lidwieneik_boom\xe2\x80\xa6'
973146682576834560,2018-03-12 10:40:23,b'RT @BLIKOPENER333: @BLIKOPENERteam @lidwieneik_boom UPDATE N\xc3\xba ook te vinden op https://t.co/Xtylwfrdf6\n\nVolg ook:\nhttps://t.co/SdxRj8esut\nh\xe2\x80\xa6'
973144580290957312,2018-03-12 10:32:02,b'RT @BLIKOPENERteam: @BLIKOPENER333 @lidwieneik_boom WTF BLUE MONDAY elke maandag #MondayLidwien_News bij onze team leader @lidwieneik_boom\xe2\x80\xa6'
973144559160037377,2018-03-12 10:31:57,b'RT @BLIKOPENER333: \xe2\x95\x94\xe2\x95\x90  ELKE MAANDAG \xe3\x83\x84\n\xe2\x95\xa0\xe2\x96\xba #Mondaylidwien_News\n\xe2\x95\xa0\xe2\x96\xba bij @lidwieneik_boom \n\xe2\x95\xa0\xe2\x96\xba \n\xe2\x95\xa0\xe2\x96\xba\n\xe2\x95\xa0\xe2\x96\xba \n\xe2\x95\xa0\xe2\x96\xba \n\xe2\x95\xa0\xe2\x96\xba \n\xe2\x95\x9a\xe2\x95\x90'
973143722316697606,2018-03-12 10:28:38,b'RT @BLIKOPENER333: OOPS Van Vollenhoven: #NVWA maakt potje van toezicht op voedsel https://t.co/V8pr9uYBaM'
973143678297497600,2018-03-12 10:28:27,b'RT @BLIKOPENER333: @BLIKOPENERteam UPDATE ook vandaag 27-02-2018 is het luizengif nog steeds in de eieren en de gerelateerde producten http\xe2\x80\xa6'
973143617207459840,2018-03-12 10:28:13,b'RT @BLIKOPENER333: @BLIKOPENERteam #Brigit-news: Ook vandaag [11-11-2017] is nog steeds het #fipronil-luizengif nog niet verdwenen in de wi\xe2\x80\xa6'
973143585653747712,2018-03-12 10:28:05,b'RT @BLIKOPENER333: @BLIKOPENERteam #Brigit-news: Ook morgen koopt u nog steeds #fipronil besmet kippenvlees/eieren en kip-gerelateerde prod\xe2\x80\xa6'
973143525826224128,2018-03-12 10:27:51,b'RT @BLIKOPENERteam: @BLIKOPENER333 Lees mijn column over het #fipronil schandaal op https://t.co/WJaBTrZ5Mg Danjewel Jos\xc3\xa9 https://t.co/pNan\xe2\x80\xa6'
973143487297327105,2018-03-12 10:27:42,b'RT @BLIKOPENER333: G\xc3\xa9\xc3\xa9n #direct gevaar voor de volksgezondheid zegt de overheid #NVWA klopt het is een slow motion gif die uw organen aanta\xe2\x80\xa6'
973143441701031936,2018-03-12 10:27:31,b'RT @BLIKOPENER333: Onze organen zijn al sinds november 2016 aangetast door het #fipronil-gif en u denkt echt dat het weer allemaal mee zal\xe2\x80\xa6'
973137758087798785,2018-03-12 10:04:56,b'RT @BLIKOPENER333: @rinsjan @lidwieneik_boom Volg je #MODEVANDAAG van lady @rinsjan eigenlijk al? #Aanrader https://t.co/lfv42L0GY8'
973137695923990528,2018-03-12 10:04:41,b'RT @rinsjan: Waarom zou een print Afrikaans zijn. Straks zijn er ook westerse prints die dan weer niet toege\xc3\xabigend mogen worden. Wat een ge\xe2\x80\xa6'
973137478516387840,2018-03-12 10:03:49,b'RT @poeetweet: De #VerplichtNL van 12-3-2018: Pete https://t.co/DAHxAsaWc2 https://t.co/Q9rwid9wC0 cc @lenifillekes @rooiereporter @Ladysto\xe2\x80\xa6'
973135921058115585,2018-03-12 09:57:38,b'@GiBordo @BLIKOPENER333 @geertwilderspvv Gelul in een zweetdoek sorry hoofddoek https://t.co/NNPWpsSotR'
973135231250247680,2018-03-12 09:54:53,b'RT @BLIKOPENER333: @BLIKOPENERteam OOPS Onze #Brigit-news redactie leeft helemaal met Geert Wilders mee en hopen dat hij een gezonde oude d\xe2\x80\xa6'
973135130134016000,2018-03-12 09:54:29,b'RT @BLIKOPENERteam: OOPS Gaat Geert Wilders zijn kogelvrijvest aan de wilgen hangen? Hierom is PVV aan het verliezen https://t.co/T2VJxzgFbB'
973133364109574144,2018-03-12 09:47:28,b'RT @uzunkokcan: 30 saniyede hayat dersi... https://t.co/jkjmHrt09L'
972987051460132865,2018-03-12 00:06:04,b'RT @Esther_Voet: Tweet was algemeen bekend. Werd mij als directeur Cidi ook vaak vanuit #Nida-kringen gestuurd. Ook toen al diverse partije\xe2\x80\xa6'
972985128707293184,2018-03-11 23:58:26,b'RT @dekoran1: slachtoffers Rotterham spreken zich uit voor de eerste keer @BLIKOPENER333 https://t.co/PJ0OCBoZ64'
972984943214317568,2018-03-11 23:57:42,b'RT @BLIKOPENER333: OOPS 1ste stap: Scheiding brengen tussen de Europeanen 2de stap Razendsnelle islamisering door halalvoedsel in te voeren\xe2\x80\xa6'
972972193012469760,2018-03-11 23:07:02,b'@BLIKOPENER333 @Dietse_Patriot @dekoran1 LOL https://t.co/P4ouWLfsv6'
972971982663929862,2018-03-11 23:06:12,b'RT @BLIKOPENER333: @Dietse_Patriot @dekoran1 En wat gaan de piepers kosten? https://t.co/45n2YL7UKa'
972970950311448579,2018-03-11 23:02:06,b'RT @BLIKOPENER333: The Lennerockers &amp; Friends: The Wild West Rockabilly https://t.co/e8XXrQCv2S via @YouTube'
972970820837425152,2018-03-11 23:01:35,b'RT @engelina2911: @lidwieneik_boom @BLIKOPENERteam @BLIKOPENER333 @Nieuwsuur'
972952146772623361,2018-03-11 21:47:23,"b'16 new followers in the last day and it is more than just stats, I use it for growing my account! Try it https://t.co/n2p6LMj9Ir'"
972945230864486403,2018-03-11 21:19:54,b'OOPS Gaat Geert Wilders zijn kogelvrijvest aan de wilgen hangen? Hierom is PVV aan het verliezen https://t.co/T2VJxzgFbB'
972934934900985866,2018-03-11 20:38:59,b'RT @BLIKOPENER333: ONE SECOND NEWS\nVanaf vandaag elke dag op https://t.co/GP6xxNQK8S https://t.co/hGUIydsy3e'
972929671829614593,2018-03-11 20:18:04,b'RT @BLIKOPENER333: OOPS TERROR ATTACKS Turkse panden en moskee\xc3\xabn doelwit van aanslagen in Duitsland https://t.co/ylVxriYCIf'
972929598806773760,2018-03-11 20:17:47,b'RT @BLIKOPENER333: Betalen voor krantenberichten in je brievenbus of achter de betaalmuur op internet?\n\nNIET DOEN! \n\nGewoon ons onthullend\xe2\x80\xa6'
972913037358362629,2018-03-11 19:11:58,b'@TerlouwArie @BLIKOPENER333 @POL_DelaHaye @ThinLbracelets @Politie @Het_OM B333-Redactie is geen #Meninigenfabriek\xe2\x80\xa6 https://t.co/sU3fwufQJZ'
972908012636655618,2018-03-11 18:52:00,b'RT @BLIKOPENER333: @BLIKOPENERteam Yep https://t.co/brO7MPHJw2'
972907244307218435,2018-03-11 18:48:57,b'@BLIKOPENER333 Yep iedereen moet zijn eigen rugzakje dragen https://t.co/PWihz16gT5'
972906577652051968,2018-03-11 18:46:18,"b""RT @BLIKOPENER333: OOPS Heftig verhaal van agente die bebloede man aanhoudt: 'Hij zei dat hij aids heeft en ik nu ook' #Ondernemersrisico h\xe2\x80\xa6"""
972898254768701440,2018-03-11 18:13:14,b'@BLIKOPENER333 @TerlouwArie @POL_DelaHaye @ThinLbracelets @Politie @Het_OM YEP 100% correct https://t.co/y0c27WO9j9'
972896471682084864,2018-03-11 18:06:09,b'RT @BLIKOPENER333: OOPS DE LAATSTE DOODSROCHEL VAN GEERT WILDERS? Peilingen: PVV verliest en daalt naar laagste stand sinds de zomer van 20\xe2\x80\xa6'
972896410587815936,2018-03-11 18:05:54,b'RT @BLIKOPENER333: OOPS Toen aids nog geen relatiegeschenk was ~ een pot om thee mee te zetten en een nicht altijd een bloedverwant van je\xe2\x80\xa6'
972885733928325120,2018-03-11 17:23:28,b'RT @BLIKOPENER333: OOPS wat gebeurde er allemaal vandaag op deze \xc3\xa9\xc3\xa9rste #Hoofddoekjesdag zondag 11 maart 2018 ?\nLees het n\xc3\xba op bij Jos\xc3\xa9 op\xe2\x80\xa6'
972879573833707521,2018-03-11 16:59:00,b'@lidwieneik_boom @BLIKOPENER333 Lees en huiver'
972879395802243072,2018-03-11 16:58:17,b'RT @lidwieneik_boom: In Amerika werden er in de jaren zestig nog steeds stiekem slaven gehouden. https://t.co/EOy7dnsz7b @BLIKOPENER333\xe2\x80\x8d\xc2\xa0 h\xe2\x80\xa6'
972875376581120005,2018-03-11 16:42:19,b'@BLIKOPENER333 Yep n\xc3\xba andersom https://t.co/sDFgtX7BHE'
972874814716342272,2018-03-11 16:40:05,b'RT @BLIKOPENER333: OOPS Verwarde man pleegt brandaanslag op moskee in Berlijn https://t.co/lv6O2dc7cI'
