Wijken, VVD, PvdA, PVV, SP, CDA, D66, ChrU, GL, SGP, PvdD, 50PLUS, OP, VNL, DENK, NW, FVD, DBB, VP, GP, Pir. p., Artikel 1, NS, LP, LIDK, VDP
01 Oostduinen,,,,,,,,,,,,,,,,,,,,,,,,,
02 Belgisch Park,1717,249,623,165,336,782,68,365,28,232,114,3,14,16,5,111,3,3,5,20,1,0,1,0,0
03 Westbroekpark/Duttendel,456,39,46,19,93,169,15,61,16,29,8,0,2,2,0,7,0,0,0,3,0,0,0,0,0
04 Benoordenhout,3877,414,332,114,739,1574,148,535,35,246,61,3,14,18,7,153,0,2,1,16,4,2,0,1,0
05 Archipelbuurt,968,185,173,91,225,580,50,286,11,187,44,0,6,9,1,57,1,1,0,6,1,1,0,0,1
06 Van Stolkpark en Schev. Bos,187,21,24,5,44,86,10,25,6,11,5,0,0,0,0,6,0,0,0,1,0,0,0,1,1
07 Scheveningen,1742,369,1837,417,666,1013,190,716,129,513,248,17,24,32,8,230,4,3,5,29,10,7,3,5,1
08 Duindorp,323,75,1290,199,231,156,75,145,56,101,102,2,14,3,6,78,6,1,1,5,0,2,1,2,0
09 Geuzen- en Statenkwartier,2496,495,1093,292,729,1586,238,823,151,492,179,5,17,31,5,177,3,1,2,26,9,4,1,0,0
10 Zorgvliet,564,128,123,60,111,491,53,318,12,138,23,0,2,4,3,31,0,1,2,5,5,0,0,0,0
11 Duinoord,803,196,159,102,159,697,51,438,4,203,44,4,5,10,0,63,1,0,3,11,8,4,0,1,0
12 Bomen- en Bloemenbuurt,1993,620,838,446,631,1606,180,1283,60,582,236,9,21,33,9,182,6,4,1,48,8,12,0,1,0
13 Vogelwijk,1515,219,202,68,349,731,73,312,27,133,38,2,11,4,1,69,0,0,0,11,2,2,0,0,1
"14 Bohemen, Meer en Bos",1283,238,466,194,327,602,84,397,9,260,99,1,16,8,6,82,2,0,4,21,2,0,0,0,0
15 Kijkduin en Ockenburgh,341,46,113,34,84,80,11,44,1,46,24,1,4,5,0,18,1,0,0,0,0,0,0,0,0
