id,created_at,text
973301623366746112,2018-03-12 20:56:04,"b""OOPS Minima-organisatie laat gift #ING schieten voor topman met 'rotloontje' https://t.co/OMwsevcMXF"""
973301154493943809,2018-03-12 20:54:12,b'RT @BLIKOPENER333: ELKE DAG om 00.00 uur #Brigit-BreakfastNews met het vaste team:\n\n@dekoran1\n@rinsjan \n@HananShamounNL \n@lidwieneik_boom\xe2\x80\xa6'
973301094427316225,2018-03-12 20:53:58,b'RT @BLIKOPENER333: Blijf jij ons onthullend actueel nieuws ook volgen? Een heel team reporters doet elke dag haar uiterste best hiervoor. G\xe2\x80\xa6'
973301050974359557,2018-03-12 20:53:48,b'RT @BLIKOPENER333: @LionessLisaH Nu ook te volgen op:\n\nhttps://t.co/Xtylwfrdf6\nhttps://t.co/SdxRj8esut\nhttps://t.co/e5jZvZ6o8k\nhttps://t.co\xe2\x80\xa6'
973301033970659328,2018-03-12 20:53:44,b'RT @LionessLisaH: Volgen is een must!\n\n#SuperTeam\n          \xf0\x9f\x91\x87\n@BLIKOPENER333 https://t.co/QD5l4jIOcc'
973300805188161536,2018-03-12 20:52:49,b'RT @BLIKOPENER333: @BLIKOPENERteam @lidwieneik_boom UPDATE N\xc3\xba ook te vinden op https://t.co/Xtylwfrdf6\n\nVolg ook:\nhttps://t.co/SdxRj8esut\nh\xe2\x80\xa6'
973300759025549314,2018-03-12 20:52:38,b'RT @BLIKOPENERteam: @BLIKOPENER333 @lidwieneik_boom WTF BLUE MONDAY elke maandag #MondayLidwien_News bij onze team leader @lidwieneik_boom\xe2\x80\xa6'
973300734484762624,2018-03-12 20:52:32,b'RT @BLIKOPENER333: \xe2\x95\x94\xe2\x95\x90  ELKE MAANDAG \xe3\x83\x84\n\xe2\x95\xa0\xe2\x96\xba #Mondaylidwien_News\n\xe2\x95\xa0\xe2\x96\xba bij @lidwieneik_boom \n\xe2\x95\xa0\xe2\x96\xba \n\xe2\x95\xa0\xe2\x96\xba\n\xe2\x95\xa0\xe2\x96\xba \n\xe2\x95\xa0\xe2\x96\xba \n\xe2\x95\xa0\xe2\x96\xba \n\xe2\x95\x9a\xe2\x95\x90'
973299201487536131,2018-03-12 20:46:27,b'RT @BLIKOPENER333: #Brigit gouden news-tip:\nIn One Second het belangrijkste nieuws ff bekijken volg dan onze nieuws parel https://t.co/GP6x\xe2\x80\xa6'
973293828991016962,2018-03-12 20:25:06,b'RT @BLIKOPENER333: Weet u wat er zich allemaal aan het afspelen is in #Syri\xc3\xab? Volg onze onafhankelijke&amp;onthullende Syri\xc3\xab-reporter lady Hana\xe2\x80\xa6'
973293772485398528,2018-03-12 20:24:52,b'RT @HananShamounNL: \xf0\x9f\x98\x8dThe first moments of the meeting of infantry troops coming from Medera with the forces that were stationed in the vehi\xe2\x80\xa6'
973291993005809664,2018-03-12 20:17:48,b'RT @BLIKOPENER333: COFFEE BREAK https://t.co/W05b00YeRc'
973291490846920705,2018-03-12 20:15:48,b'RT @BLIKOPENER333: #Brigit-news: WOW Het WETSONTWERP #Denk is door de  2de en 1ste Kamer.\nVanaf zondag 1-4-2018 kunnen alle Turken in de Ne\xe2\x80\xa6'
973290690691194882,2018-03-12 20:12:38,b'#Brigit-VRAAG VAN DEZE WEEK Wie weet wat Emiel Ratelband en Camiel Eurlings met elkaar gemeen hebben?\xe2\x80\xa6 https://t.co/ALALI5NzdE'
973286363121537024,2018-03-12 19:55:26,b'OOPS Vertraging nieuwe #Donorwet wekt argwaan. Na de verkiezingen dan kost het #D66 geen stemmen\xe2\x80\xa6 https://t.co/GtIHulYlkc'
973285186178863104,2018-03-12 19:50:45,b'RT @barracudawiep: @BLIKOPENER333 https://t.co/n63qGqKWhc'
973283425141575680,2018-03-12 19:43:45,b'OOPS Dikke middelvinger voor de #EU van Orb\xc3\xa1n tart EU met felle campagne tegen immigratie https://t.co/ppGuJfzL88 via @lidwieneik_boom'
973281859361824768,2018-03-12 19:37:32,b'@BLIKOPENERteam #Brigit-news: Vandaag maandag 12 maart 2018 ging Monique Underkoffer \xc3\xa9n incognito de supermarkten a\xe2\x80\xa6 https://t.co/rhJUTRB8rp'
973279758577537025,2018-03-12 19:29:11,b'RT @BLIKOPENER333: @BLIKOPENERteam UPDATE ook vandaag 27-02-2018 is het luizengif nog steeds in de eieren en de gerelateerde producten http\xe2\x80\xa6'
973279718429614080,2018-03-12 19:29:02,b'RT @BLIKOPENER333: @BLIKOPENERteam #Brigit-news: Ook vandaag [11-11-2017] is nog steeds het #fipronil-luizengif nog niet verdwenen in de wi\xe2\x80\xa6'
973279683721728000,2018-03-12 19:28:53,b'RT @BLIKOPENER333: @BLIKOPENERteam #Brigit-news: Ook morgen koopt u nog steeds #fipronil besmet kippenvlees/eieren en kip-gerelateerde prod\xe2\x80\xa6'
973279642378493952,2018-03-12 19:28:44,b'RT @BLIKOPENERteam: @BLIKOPENER333 Lees mijn column over het #fipronil schandaal op https://t.co/WJaBTrZ5Mg Danjewel Jos\xc3\xa9 https://t.co/pNan\xe2\x80\xa6'
973279602083880961,2018-03-12 19:28:34,b'RT @BLIKOPENER333: G\xc3\xa9\xc3\xa9n #direct gevaar voor de volksgezondheid zegt de overheid #NVWA klopt het is een slow motion gif die uw organen aanta\xe2\x80\xa6'
973279568411979777,2018-03-12 19:28:26,b'RT @BLIKOPENER333: Onze organen zijn al sinds november 2016 aangetast door het #fipronil-gif en u denkt echt dat het weer allemaal mee zal\xe2\x80\xa6'
973276951011000321,2018-03-12 19:18:02,b'RT @HananShamounNL: MSM used the children of Ghouta in its dirty war against the Syrian national state but the pictures of these kids today\xe2\x80\xa6'
973276504951083010,2018-03-12 19:16:16,b'OOPS Kan Holleeder nog vrij neuzen voordat hij bejaard is? Het verhoor van Astrid Holleeder van moment tot moment:\xe2\x80\xa6 https://t.co/69jl5jwTCB'
973275740249698304,2018-03-12 19:13:13,b'Vlog Ebru: Hele volksstammen verslaafd aan Facebook https://t.co/8Iq6gZ9BXg'
973275568694276096,2018-03-12 19:12:32,b'Vlog Ebru: Ik ben zo klaar met het nieuws https://t.co/ObE1URDYhR'
973275338561159168,2018-03-12 19:11:37,b'#Brigit-news: Hoe zou het vandaag met onze NederTurkse knuffel Turk @umarebru gaan? https://t.co/jcLUZCZaxE'
973273415699324928,2018-03-12 19:03:59,b'OOPS FOSSIELENJACHT naar sinds 1974 vermiste vrienden Hans en Piet levert niks op https://t.co/wBeo2YrQcj'
973271700191240193,2018-03-12 18:57:10,"b""#Brigit-news Autoritair blauw krijgt lik op stuk: Geweld tegen politiemensen: 'Mensen accepteren geen gezag meer' https://t.co/02MqFku3Wr"""
