id,created_at,text
973235690732433408,2018-03-12 16:34:05,"b'@LodewijkA Links af staat gelijk aan salafistisch. Dus nee, dank je.'"
973232542311682055,2018-03-12 16:21:34,b'@geertwilderspvv  https://t.co/tGIFW4f1ps'
973232409633320960,2018-03-12 16:21:02,b'@geertwilderspvv  https://t.co/nMTBEq2yUm'
973231861383225344,2018-03-12 16:18:52,b'@Mirjam152  https://t.co/bsXmuo6gFG'
973231747570823169,2018-03-12 16:18:25,b'@Mirjam152  https://t.co/kFjenRjl5V'
972462524498137089,2018-03-10 13:21:47,b'@LodewijkA Een beter voorbeeld van symboolpolitiek is nauwelijks denkbaar.'
972387522373472261,2018-03-10 08:23:46,b'@RTLnieuws @JosHeymans Helemaal prima die kritische houding tav de PVV. Zou echter nog beter zijn als met dezelfde\xe2\x80\xa6 https://t.co/m9dsY8wg3n'
972176909705637888,2018-03-09 18:26:52,b'https://t.co/V0mGJOl6TZ'
972176879707881472,2018-03-09 18:26:44,b'https://t.co/Nn2FjWbrcr'
972141350735970304,2018-03-09 16:05:34,b'@geertwilderspvv @floorbremer @RTLnieuws  https://t.co/Y6SWV9a2ll'
972092673195692032,2018-03-09 12:52:08,b'Arrogander wordt nu zelfs bij de NPO al afgezeken. https://t.co/ZHAG6qAhdC'
971999541552594945,2018-03-09 06:42:04,b'https://t.co/JEbv7642Qg'
971999513958215684,2018-03-09 06:41:57,b'Links-islamitisch verbond Rotterdam https://t.co/WCF8ImMYaQ'
971828932055064576,2018-03-08 19:24:07,b'@ADPolitiek Tenzij het Silly Sil betreft....dan gelden kennelijk hele andere maatstaven.'
971741817862610950,2018-03-08 13:37:58,b'@Martinbosma_pvv  https://t.co/HOEKhlLaqq'
971452410391560193,2018-03-07 18:27:58,b'Linkse politiek anno 2018 https://t.co/QIzcokRisC'
971356016305754119,2018-03-07 12:04:55,b'https://t.co/gm5SbGUSYC'
971010176638750720,2018-03-06 13:10:41,b'@jndkgrf @APechtold @WNLOpiniemakers @jeroenpauw is toch wel mans genoeg om zelf alle relevante topics ter tafel te\xe2\x80\xa6 https://t.co/uGzq79bs6A'
970764939727163398,2018-03-05 20:56:12,b'@seven__  https://t.co/xP5U6n6y5h'
970755914448982017,2018-03-05 20:20:20,b'https://t.co/OZfqCuHHE7'
970558342547558401,2018-03-05 07:15:15,b'RT @Leonvangalen99: https://t.co/8x4ukcfZCi'
969980991501717505,2018-03-03 17:01:04,b'@Blankedixie  https://t.co/eDeZQPkD66'
969945679933136899,2018-03-03 14:40:45,b'BREKEND! Besloten Whatsapp-conversatie tussen Alexander Pechtold en Kajsa Ollongren is uitgelekt! https://t.co/cjhNY8Wvzq'
969312998790705154,2018-03-01 20:46:42,b'@RTLnieuws  https://t.co/b5SMGiq7bP'
969296915123916802,2018-03-01 19:42:47,"b""Terwijl Marine Le Pen wordt vervolgd voor het tweeten van 3 IS-foto's, zijn de meeste IS-strijders zonder problemen\xe2\x80\xa6 https://t.co/JlpEvfdC6f"""
968957155146649603,2018-02-28 21:12:42,b'https://t.co/H7MHMF2sGu'
968495046264786944,2018-02-27 14:36:27,b'De VVD profileert zich in campagnetijd altijd als de partij van de lastenverlichting. Ruim 7 jaar Rutte laat echter\xe2\x80\xa6 https://t.co/W042zhDfhc'
968118462483755013,2018-02-26 13:40:02,b'Gelukkig windt D66 er bij de huidige campagne geen doekjes meer om.. https://t.co/gNIJAtQfzy'
