id,created_at,text
973315635135569920,2018-03-12 21:51:45,"b'RT @BLIKOPENER333: @IreneKorting @BLIKOPENERteam @dekoran1 Als u iets wilt publiceren kunt u het naar ons zenden, wij en @lidwieneik_boom r\xe2\x80\xa6'"
973315583117873157,2018-03-12 21:51:33,b'RT @BLIKOPENER333: GOOD MORNING DEAR WEEKEND TWEEPS\n\n#Brigit-news:\nMet het amazing OOPS NEWS van Monique .\n\nEn maandag #MondayLidwien_news\xe2\x80\xa6'
973315533121695744,2018-03-12 21:51:21,b'RT @lidwieneik_boom: @BLIKOPENER333 https://t.co/QNHPRDHW1n'
973315473726214144,2018-03-12 21:51:06,b'RT @BLIKOPENER333: #Brigit-news: Wij wensen @MuzZ11_ @diedelicious en @ynaleling veel sterkte beterschap en nog een heel fijn weekend\n\n@lid\xe2\x80\xa6'
973315428536680449,2018-03-12 21:50:56,b'RT @barracudawiep: Wat kan het schelen hoeveel vrouwen in een partij zitten en welke kleur ze hebben. Belangrijk is hoe politici functioner\xe2\x80\xa6'
973315365450211328,2018-03-12 21:50:41,b'RT @BLIKOPENER333: Betalen voor krantenberichten in je brievenbus of achter de betaalmuur op internet?\n\nNIET DOEN! \n\nGewoon ons onthullend\xe2\x80\xa6'
973315308655177729,2018-03-12 21:50:27,b'RT @BLIKOPENER333: ONE SECOND NEWS\nVanaf vandaag elke dag op https://t.co/GP6xxNQK8S https://t.co/hGUIydsy3e'
973315243777646593,2018-03-12 21:50:12,"b'RT @V_of_Europe: ""Let Them Call You Racists"" Bannon Tells France\'s Nationalist Party https://t.co/k2CnqX1zA3'"
973315193307586560,2018-03-12 21:50:00,b'RT @BLIKOPENER333: @rinsjan @lidwieneik_boom Volg je #MODEVANDAAG van lady @rinsjan eigenlijk al? #Aanrader https://t.co/lfv42L0GY8'
973315150873849857,2018-03-12 21:49:49,b'RT @BLIKOPENER333: @BLIKOPENERteam @lidwieneik_boom UPDATE N\xc3\xba ook te vinden op https://t.co/Xtylwfrdf6\n\nVolg ook:\nhttps://t.co/SdxRj8esut\nh\xe2\x80\xa6'
973315097920790530,2018-03-12 21:49:37,b'RT @dekoran1: soms... @lidwieneik_boom https://t.co/XdtGEfyUzG'
973315031256399879,2018-03-12 21:49:21,b'RT @BLIKOPENER333: Onze @BLIKOPENERteam-reporters:\n\n@dekoran1\n@rinsjan \n@HananShamounNL Syri\xc3\xab  \n@lidwieneik_boom \n@barracudawiep \n@mary_blu\xe2\x80\xa6'
973314855334707200,2018-03-12 21:48:39,b'RT @lidwieneik_boom: Graag retweeten #dossierpechtold https://t.co/klPf5y6Usy. @BLIKOPENER333'
