Expected Annual Damage,Expected Evacuation Costs,Expected Number of Deaths,Total Construction Costs
5856548.681347329,402.6865639575476,0.0013487194847749046,319868030.4891315
6830455.69402746,156.7300446873925,0.0011752789469589998,319868030.4891315
0.0,0.0,0.0,319868030.4891315
62801.513895495955,2.7352059701454268,5.057876258729613e-06,319868030.4891315
0.0,0.0,0.0,319868030.4891315
0.0,0.0,0.0,319868030.4891315
0.0,0.0,0.0,319868030.4891315
2845444.254808373,252.03589934635454,0.0003478662110446084,319868030.4891315
0.0,0.0,0.0,319868030.4891315
0.0,0.0,0.0,319868030.4891315
0.0,0.0,0.0,319868030.4891315
0.0,0.0,0.0,319868030.4891315
1675812.6968133012,141.06496817535538,0.00021800668747776065,319868030.4891315
0.0,0.0,0.0,319868030.4891315
0.0,0.0,0.0,319868030.4891315
0.0,0.0,0.0,319868030.4891315
0.0,0.0,0.0,319868030.4891315
196497.7516466332,11.090479561649737,1.8585313935623292e-05,319868030.4891315
2046880.3122278077,94.45315283579095,0.0001553985301430783,319868030.4891315
0.0,0.0,0.0,319868030.4891315
0.0,0.0,0.0,319868030.4891315
0.0,0.0,0.0,319868030.4891315
0.0,0.0,0.0,319868030.4891315
0.0,0.0,0.0,319868030.4891315
811072.728346266,45.54443796083412,7.712889761104857e-05,319868030.4891315
820834.0541413786,45.81118095640886,7.855850765367016e-05,319868030.4891315
1626307.9881987409,139.12345078922863,0.00020760111807508293,319868030.4891315
0.0,0.0,0.0,319868030.4891315
0.0,0.0,0.0,319868030.4891315
1473325.7500804404,56.6734406248518,0.00019719654476397353,319868030.4891315
0.0,0.0,0.0,319868030.4891315
0.0,0.0,0.0,319868030.4891315
0.0,0.0,0.0,319868030.4891315
19181051.47452828,1553.2698981317328,0.0017292595350393107,319868030.4891315
995276.8510213214,45.4203430684842,7.646381058989091e-05,319868030.4891315
979368.8677642058,45.06807214923141,7.457581333319742e-05,319868030.4891315
0.0,0.0,0.0,319868030.4891315
0.0,0.0,0.0,319868030.4891315
0.0,0.0,0.0,319868030.4891315
5794344.801391501,386.2165400135065,0.0010798348804236116,319868030.4891315
0.0,0.0,0.0,319868030.4891315
0.0,0.0,0.0,319868030.4891315
0.0,0.0,0.0,319868030.4891315
1128815.0745088293,93.39727227919767,0.0001497395345084896,319868030.4891315
0.0,0.0,0.0,319868030.4891315
0.0,0.0,0.0,319868030.4891315
0.0,0.0,0.0,319868030.4891315
0.0,0.0,0.0,319868030.4891315
990335821.4625163,7839.7368890352245,0.08724992667478756,319868030.4891315
2433331.206153432,179.55052621104716,0.00025427650218720025,319868030.4891315
1336934.0703846503,93.30271223608821,0.0001492327396178917,319868030.4891315
0.0,0.0,0.0,319868030.4891315
0.0,0.0,0.0,319868030.4891315
4316914.344413687,173.157572945405,0.0005191459240689425,319868030.4891315
0.0,0.0,0.0,319868030.4891315
670756.7491553788,45.54443796083412,7.712889761104857e-05,319868030.4891315
0.0,0.0,0.0,319868030.4891315
0.0,0.0,0.0,319868030.4891315
2459386.826099573,112.40487625897589,0.0003571604536339889,319868030.4891315
682251.2300738466,45.924249650631516,7.916449972637118e-05,319868030.4891315
1644639.2154390358,94.06870608576027,0.00015333808640579163,319868030.4891315
0.0,0.0,0.0,319868030.4891315
0.0,0.0,0.0,319868030.4891315
3534008.1063678516,193.8740960449107,0.0015507259316471893,319868030.4891315
0.0,0.0,0.0,319868030.4891315
0.0,0.0,0.0,319868030.4891315
0.0,0.0,0.0,319868030.4891315
1200151.6415630674,96.19500988999262,0.0001647340192798498,319868030.4891315
1716043.0641348325,142.64275662802885,0.00022646285035549322,319868030.4891315
0.0,0.0,0.0,319868030.4891315
146323.6503011898,11.459525452518841,2.056321671293112e-05,319868030.4891315
2198113.168795861,185.35351186083335,0.00028537762461498155,319868030.4891315
23819462.3079999,283.70590502006996,0.002289029704425213,319868030.4891315
550118347.8234509,7742.6093731316,0.08548075765667566,319868030.4891315
0.0,0.0,0.0,319868030.4891315
1766532.1481387871,56.381639145301776,0.0001527717445003643,319868030.4891315
0.0,0.0,0.0,319868030.4891315
1007220.9555954565,45.68483672742114,7.78813653047251e-05,319868030.4891315
0.0,0.0,0.0,319868030.4891315
0.0,0.0,0.0,319868030.4891315
0.0,0.0,0.0,319868030.4891315
987523.2310727704,45.24864469649911,7.554359254869074e-05,319868030.4891315
37914109.367798954,2058.500733961103,0.002282793165219922,319868030.4891315
0.0,0.0,0.0,319868030.4891315
0.0,0.0,0.0,319868030.4891315
0.0,0.0,0.0,319868030.4891315
0.0,0.0,0.0,319868030.4891315
0.0,0.0,0.0,319868030.4891315
24306433.18612189,427.65548255584974,0.003481069962814501,319868030.4891315
38779.241837183275,2.6258923241238206,4.47200938034601e-06,319868030.4891315
0.0,0.0,0.0,319868030.4891315
0.0,0.0,0.0,319868030.4891315
3619478.695342185,179.29682573179616,0.00025291679355764977,319868030.4891315
0.0,0.0,0.0,319868030.4891315
0.0,0.0,0.0,319868030.4891315
0.0,0.0,0.0,319868030.4891315
0.0,0.0,0.0,319868030.4891315
0.0,0.0,0.0,319868030.4891315
0.0,0.0,0.0,319868030.4891315
0.0,0.0,0.0,319868030.4891315
0.0,0.0,0.0,319868030.4891315
63395.76121112918,2.7483651522213806,5.12840294231857e-06,319868030.4891315
51428.88708553529,2.749883479332309,5.136540421921703e-06,319868030.4891315
0.0,0.0,0.0,319868030.4891315
0.0,0.0,0.0,319868030.4891315
556067577.7745866,7806.967389501684,0.08664056480072167,319868030.4891315
0.0,0.0,0.0,319868030.4891315
0.0,0.0,0.0,319868030.4891315
84465284.21968126,1138.0763998901348,0.011732864189281314,319868030.4891315
468101.7658649699,20.727436587023156,3.7093750182477016e-05,319868030.4891315
0.0,0.0,0.0,319868030.4891315
0.0,0.0,0.0,319868030.4891315
0.0,0.0,0.0,319868030.4891315
0.0,0.0,0.0,319868030.4891315
47865.682190026055,2.6525135146753933,4.614685746700331e-06,319868030.4891315
28709145.166941058,1941.5711880692727,0.0020881861166546314,319868030.4891315
0.0,0.0,0.0,319868030.4891315
0.0,0.0,0.0,319868030.4891315
0.0,0.0,0.0,319868030.4891315
0.0,0.0,0.0,319868030.4891315
1746950.3233943495,96.21018646808355,0.00026952154774731495,319868030.4891315
0.0,0.0,0.0,319868030.4891315
8227368.405782687,161.85031755481828,0.0011955335626296624,319868030.4891315
0.0,0.0,0.0,319868030.4891315
0.0,0.0,0.0,319868030.4891315
0.0,0.0,0.0,319868030.4891315
0.0,0.0,0.0,319868030.4891315
0.0,0.0,0.0,319868030.4891315
0.0,0.0,0.0,319868030.4891315
0.0,0.0,0.0,319868030.4891315
0.0,0.0,0.0,319868030.4891315
178535.62536918095,11.620226995440056,2.142449720927531e-05,319868030.4891315
0.0,0.0,0.0,319868030.4891315
0.0,0.0,0.0,319868030.4891315
0.0,0.0,0.0,319868030.4891315
52614291.2192514,801.7433255161288,0.007410167778188627,319868030.4891315
1020999.5616537428,45.989954110544076,7.951664301520852e-05,319868030.4891315
0.0,0.0,0.0,319868030.4891315
0.0,0.0,0.0,319868030.4891315
0.0,0.0,0.0,319868030.4891315
0.0,0.0,0.0,319868030.4891315
0.0,0.0,0.0,319868030.4891315
0.0,0.0,0.0,319868030.4891315
51496.708427004785,2.751736800097049,5.146473301215353e-06,319868030.4891315
971883251.7557031,7719.177203034926,0.08521409380661396,319868030.4891315
455463.88170514815,31.102932004853237,0.00010717632914084048,319868030.4891315
0.0,0.0,0.0,319868030.4891315
1070665.2105660192,47.08976440798,8.541108025358931e-05,319868030.4891315
0.0,0.0,0.0,319868030.4891315
37947727.94418474,1845.385681494945,0.005811334258406747,319868030.4891315
3525580.2496182574,193.79624539326875,0.001544227377186402,319868030.4891315
0.0,0.0,0.0,319868030.4891315
0.0,0.0,0.0,319868030.4891315
0.0,0.0,0.0,319868030.4891315
0.0,0.0,0.0,319868030.4891315
0.0,0.0,0.0,319868030.4891315
2365536.141998359,139.98338739483967,0.00021220995140077342,319868030.4891315
0.0,0.0,0.0,319868030.4891315
243213.1228572695,11.106661983139372,1.867204368170591e-05,319868030.4891315
0.0,0.0,0.0,319868030.4891315
649967213.6486788,7707.871114146084,0.08499101932478412,319868030.4891315
0.0,0.0,0.0,319868030.4891315
0.0,0.0,0.0,319868030.4891315
0.0,0.0,0.0,319868030.4891315
0.0,0.0,0.0,319868030.4891315
6864852.272446221,265.37524241909813,0.0009048320015157161,319868030.4891315
0.0,0.0,0.0,319868030.4891315
0.0,0.0,0.0,319868030.4891315
0.0,0.0,0.0,319868030.4891315
0.0,0.0,0.0,319868030.4891315
0.0,0.0,0.0,319868030.4891315
0.0,0.0,0.0,319868030.4891315
0.0,0.0,0.0,319868030.4891315
0.0,0.0,0.0,319868030.4891315
0.0,0.0,0.0,319868030.4891315
375042.73331348854,20.610267652164637,3.6465782855364644e-05,319868030.4891315
0.0,0.0,0.0,319868030.4891315
0.0,0.0,0.0,319868030.4891315
1652363.080025406,94.27977237126566,0.00015446929692086877,319868030.4891315
0.0,0.0,0.0,319868030.4891315
0.0,0.0,0.0,319868030.4891315
0.0,0.0,0.0,319868030.4891315
0.0,0.0,0.0,319868030.4891315
172571.82366389746,11.42316532563807,2.0368344482349227e-05,319868030.4891315
0.0,0.0,0.0,319868030.4891315
0.0,0.0,0.0,319868030.4891315
0.0,0.0,0.0,319868030.4891315
0.0,0.0,0.0,319868030.4891315
0.0,0.0,0.0,319868030.4891315
0.0,0.0,0.0,319868030.4891315
0.0,0.0,0.0,319868030.4891315
0.0,0.0,0.0,319868030.4891315
0.0,0.0,0.0,319868030.4891315
9941407.940663734,272.82108107708774,0.0015148986314848982,319868030.4891315
0.0,0.0,0.0,319868030.4891315
149727.44569646294,11.593018369125916,2.127867247884209e-05,319868030.4891315
0.0,0.0,0.0,319868030.4891315
0.0,0.0,0.0,319868030.4891315
0.0,0.0,0.0,319868030.4891315
0.0,0.0,0.0,319868030.4891315
0.0,0.0,0.0,319868030.4891315
0.0,0.0,0.0,319868030.4891315
1057018.869567192,46.78757594006445,8.379150007467722e-05,319868030.4891315
0.0,0.0,0.0,319868030.4891315
0.0,0.0,0.0,319868030.4891315
1696762.060638231,141.88657798243608,0.00022241010818910148,319868030.4891315
0.0,0.0,0.0,319868030.4891315
9124442.438645402,528.9712980555303,0.0017662827565064344,319868030.4891315
41013.89524932781,2.699731890660009,4.8677528023448075e-06,319868030.4891315
0.0,0.0,0.0,319868030.4891315
0.0,0.0,0.0,319868030.4891315
0.0,0.0,0.0,319868030.4891315
0.0,0.0,0.0,319868030.4891315
3487172.4782100045,313.71804278994387,0.00041745610286389435,319868030.4891315
0.0,0.0,0.0,319868030.4891315
1036006.5789233306,47.5132371711784,0.00038572082565510455,319868030.4891315
0.0,0.0,0.0,319868030.4891315
0.0,0.0,0.0,319868030.4891315
0.0,0.0,0.0,319868030.4891315
1675563.6322184717,141.05520015015813,0.0002179543357116402,319868030.4891315
0.0,0.0,0.0,319868030.4891315
0.0,0.0,0.0,319868030.4891315
0.0,0.0,0.0,319868030.4891315
11563838.1277345,787.4239655724025,0.002797083507531767,319868030.4891315
1189022.519728019,58.552217170868204,0.00039772453561329104,319868030.4891315
576572.718294098,9.465115316148523,6.937399354309082e-05,319868030.4891315
3122410.115851206,184.47063739800322,0.0002806458557611581,319868030.4891315
